ID	SP	aspect_ratio	leaf_area_mm2	leaf_len_mm
Brandisia_kwangsiensis	Brandisia kwangsiensis	0.315845174	894.644946	67.01267596
Dasistoma_macrophylla	Dasistoma macrophylla	0.420679283	4871.197017	158.5973216
Escobedia_grandiflora	Escobedia grandiflora	0.508595842	2104.647584	74.63364293
Escobedia_guatemalensis	Escobedia guatemalensis	0.070292401	1458.123911	171.9391366
Lindenbergia_grandiflora	Lindenbergia grandiflora	0.282788604	1300.05136	91.04477613
Lindenbergia_philippensis	Lindenbergia philippensis	0.415563861	2646.411365	113.0244586
Paulownia_fortunei	Paulownia fortunei	0.592166381	18127.40843	238.7498033
Paulownia_tomentosa	Paulownia tomentosa	0.638221755	25151.85375	240.89692
Rehmannia_angulata	Rehmannia angulata	0.388073523	5191.330853	154.7612035
Rehmannia_glutinosa	Rehmannia glutinosa	0.342631804	4029.11302	146.0227651
Rehmannia_henryi	Rehmannia henryi	0.419023298	1536.59967	89.08315565
L16	Silviella prostrata	0.79692662	26.70346485	8.636998817
L20	Euphrasia antarctica	0.813642251	58.3406016	12.0297216
S12	Silviella prostrata	0.840610154	18.43024253	7.844243792
S28	Christisonia bicolor	1.216501258	55.01310764	7.590293454
L15	Sopubia cana	0.072992693	16.07722914	16.20749151
L19	Cycnium adonense	0.185583433	378.319783	59.94270709
L1	Bungea vesiculifera	0.070785201	19.51505442	19.07942339
L37	Triphysaria floribunda	0.334550917	45.57061493	27.34697008
L6	Cordylanthus eremicus	0.718494272	22.52836161	10.20203707
S11	Sopubia delphinifolia	0.05122112	14.3762758	19.21856738
S15	Parentucellia latifolia	0.917556581	33.44815582	8.553180832
S19	Agalinis edwardsiana	0.07331821	50.56793096	29.58201146
S31	Mannagettaea hummelii	0.529129728	21.59013292	8.603272667
S33	Lathraea japonica	1.108910167	59.35112501	8.824511604
S34	Lathraea squamaria	1.105683826	67.3435054	9.271163801
S39	Buttonia superba	0.581856271	61.73532201	17.23993989
S40	Bungea trifida	0.276011823	45.86361429	23.52089943
S52	Leptorhabdos parviflora	0.361345183	55.26300081	25.69711137
S58	Cycnium adonense	0.283517218	479.2506415	49.94155953
S5	Bartsia fiebrigii	0.45590686	21.03464894	7.970167531
S20	Agalinis heterophylla	0.149330414	65.86810324	24.60478948
S21	Krameria lanceolata	0.157084572	16.03289776	11.66066677
S22	Krameria bicolor	0.208529802	17.25577454	10.30364689
S23	Krameria argentea	0.494063443	177.0650472	23.43089686
S24	Krameria cistoidea	0.448685849	35.85446706	10.92502739
S25	Phoradendron villosum	0.505724299	164.868372	22.14744091
S26	Phoradendron leucarpum	0.556268029	147.0778997	19.40053217
S27	Psittacanthus calyculatus	0.249416527	327.2953756	40.17843168
S29	Lindenbergia philippensis	0.531561462	737.2939888	47.11222414
S32	Lindenbergia muraria	0.680818237	44.66414324	9.97808734
S36	Centranthera grandiflora	0.483417474	361.4003035	32.34465488
S37	Centranthera cochinchinensis	0.24729511	69.70473615	19.24244796
S38	Bungea vesiculifera	0.07306576	25.39889662	21.77850323
S41	Lindenbergia muraria	0.818580067	163.199432	18.94662702
S49	Pterygiella duclouxii	0.176027269	70.55098573	22.87786299
S50	Radamaea montana	0.385292262	42.83574438	12.8345594
S51	Micrargeria filiformis	0.078121211	25.07599281	20.5900767
S53	Esterhazya splendida	0.133027974	140.3055676	39.58992018
S54	Esterhazya splendida	0.21611673	96.29906567	26.26402008
S55	Esterhazya splendida	0.109475665	83.52115163	33.92329396
L24	Leucosalpa madagascariensis	0.429935378	662.0959319	48.56166334
L27	Vellosiella spathacea	0.475016446	708.5054572	46.57504984
L30	Sopubia cana	0.068328133	31.14829126	26.08024692
L35	Tozzia alpina	0.625364796	132.8355738	17.1875
L36	Sopubia carsonii	0.099026898	24.35908456	18.43253968
L38	Thunbergianthus sp.	0.316098276	351.3046969	45.08928571
S44	Omphalotis longipes	0.329528693	39.86434145	12.75628307
S45	Phtheirospermum japonicum	0.551862464	203.0435856	28.85251323
S46	Physocalyx aurantiacus	0.675500171	118.1628049	15.41832011
S47	Physocalyx coriaceus	0.685723561	277.485118	24.28902117
S56	Cymbaria daurica	0.170271928	40.10592363	18.6811067
S59	Striga elegans	0.140006009	59.35234176	24.09722222
S60	Striga asiatica	0.099132957	68.155634	28.89798281
S30	Lindenbergia philippensis	0.420730586	159.3582719	25.58838258
S42	Rhinanthus alectorolophus	0.800734307	161.2643562	19.10087353
S48	Physocalyx major	0.763208551	722.5135539	37.17242531
S57	Cycnium volkensii	0.620334113	62.08451664	11.93039559
