tip_label,Leaf_type_code
Agalinis_homalantha,5
Agalinis_pulchella,5
Agalinis_navasotensis,5
Agalinis_edwardsiana,5
Agalinis_peduncularis,5
Agalinis_gypsophila,5
Agalinis_strictifolia,5
Agalinis_viridis,5
Agalinis_flexicaulis,5
Agalinis_obtusifolia,5
Agalinis_skinneriana,5
Agalinis_decemloba,5
Agalinis_tenella,5
Agalinis_oligophylla,1
Agalinis_aphylla,1
Agalinis_linifolia,5
Agalinis_kingsii,5
Agalinis_maritima,5
Agalinis_plukenetii,5
Agalinis_setacea,5
Agalinis_laxa,5
Agalinis_albida,5
Agalinis_gattingeri,5
Agalinis_harperi,5
Agalinis_fasciculata,5
Agalinis_tenuifolia,5
Agalinis_auriculata,2
Agalinis_divaricata,5
Agalinis_filicaulis,1
Agalinis_lanceolata,2
Agalinis_stenantha,2
Agalinis_pennellii,2
Agalinis_reflexidens,2
Agalinis_brevifolia,2
Agalinis_megalantha,2
Agalinis_bangii,2
Agalinis_scarlatina,2
Agalinis_fiebrigii,5
Esterhazya_caesarea,5
Esterhazya_splendida,2
Esterhazya_nanuzae,2
Agalinis_angustifolia,5
Agalinis_ramosissima,5
Agalinis_bandeirensis,5
Agalinis_communis,5
Agalinis_heterophylla,5
Macranthera_flammea,4
Dasistoma_macrophylla,4
Aureolaria_flava,2
Aureolaria_grandiflora,2
Aureolaria_pedicularia,4
Aureolaria_pectinata,4
Seymeria_pectinata,3
Seymeria_cassioides,3
Seymeria_deflexa,3
Seymeria_decurva,3
Aureolaria_virginica,2
Aureolaria_laevigata,2
Brachystigma_wrightii,5
Lamourouxia_viscosa,4
Lamourouxia_colimae,4
Lamourouxia_rhinanthifolia,4
Lamourouxia_brachyantha,4
Lamourouxia_nelsonii,4
Lamourouxia_lanceolata,4
Lamourouxia_virgata,4
Lamourouxia_dasyantha,5
Lamourouxia_sylvatica,4
Lamourouxia_xalapensis,4
Lamourouxia_macrantha,4
Lamourouxia_dependens,4
Lamourouxia_dispar,4
Lamourouxia_multifida,3
Lamourouxia_longiflora,2
Lamourouxia_pringlei,2
Vellosiella_spathacea,4
Vellosiella_westermanii,4
Silviella_prostrata,3
Castilleja_applegatei,3
Castilleja_affinis,3
Castilleja_parviflora,3
Castilleja_elegans,5
Castilleja_lemmonii,3
Castilleja_pallida,5
Castilleja_raupii,5
Castilleja_coccinea,3
Castilleja_indivisa,2
Castilleja_sessiliflora,3
Castilleja_miniata,2
Castilleja_tenuiflora,5
Castilleja_racemosa,2
Castilleja_nubigena,3
Castilleja_pumila,3
Castilleja_septentrionalis,5
Castilleja_arvensis,2
Castilleja_exilis,2
Castilleja_angustifolia,3
Castilleja_campestris,5
Castilleja_exserta,3
Castilleja_laciniata,3
Castilleja_vadosa,3
Castilleja_rubicundula,3
Castilleja_lineariloba,3
Triphysaria_pusilla,3
Triphysaria_floribunda,3
Triphysaria_eriantha,3
Chloropyron_molle,2
Chloropyron_palmatum,3
Chloropyron_maritimum,2
Dicranostegia_orcuttiana,3
Orthocarpus_cuspidatus,3
Orthocarpus_bracteosus,3
Orthocarpus_barbatus,3
Orthocarpus_tolmiei,3
Cordylanthus_wrightii,3
Cordylanthus_kingii,3
Cordylanthus_eremicus,2
Cordylanthus_ramosus,3
Cordylanthus_rigidus,3
Cordylanthus_pilosus,2
Pedicularis_elongata,4
Pedicularis_recutita,4
Pedicularis_gyroflexa,4
Pedicularis_tuberosa,4
Pedicularis_rosea,4
Pedicularis_kerneri,4
Pedicularis_foliosa,4
Pedicularis_sylvatica,4
Pedicularis_hirsuta,4
Pedicularis_lanata,4
Pedicularis_racemosa,4
Pedicularis_canadensis,4
Pedicularis_crenulata,4
Pedicularis_lapponica,4
Pedicularis_contorta,4
Pedicularis_palustris,4
Pedicularis_attollens,4
Pedicularis_incarnata,4
Pedicularis_verticillata,4
Pedicularis_gracilis,4
Pedicularis_flammea,4
Pedicularis_oederi,4
Pedicularis_lachnoglossa,4
Pedicularis_rhodotricha,4
Pedicularis_rainierensis,4
Pedicularis_furbishiae,4
Pedicularis_capitata,4
Pedicularis_densiflora,4
Pedicularis_sceptrum_carolinum,4
Pedicularis_cystopteridifolia,4
Pedicularis_procera,4
Leptorhabdos_parviflora,4
Phtheirospermum_japonicum,4
Buchnera_americana,4
Buchnera_floridana,4
Buchnera_pusilla,5
Buchnera_foliosa,2
Buchnera_glabrata,2
Buchnera_cruciata,2
Buchnera_welwitschii,5
Striga_elegans,2
Striga_asiatica,5
Cycnium_tubulosum,4
Cycnium_volkensii,4
Cycnium_adonense,4
Thunbergianthus_ruwenzoriensis,2
Xylocalyx_hispidus,2
Xylocalyx_recurvus,2
Xylocalyx_carterae,2
Xylocalyx_asper,2
Xylocalyx_aculeolatus,2
Graderia_fruticosa,2
Nesogenes_dupontii,2
Bardotia_ankaranensis,3
Nesogenes_africanus,4
Sieversandreas_madagascarianus,3
Radamaea_montana,2
Sopubia_cana,5
Sopubia_simplex,5
Sopubia_karaguensis,3
Sopubia_lemuriana,3
Sopubia_parviflora,5
Sopubia_lanata,5
Micrargeria_filiformis,5
Graderia_scabra,4
Escobedia_grandiflora,4
Escobedia_guatemalensis,4
Escobedia_crassipes,4
Escobedia_laevis,5
Melasma_physalodes,4
Melasma_rhinanthoides,4
Physocalyx_aurantiacus,2
Physocalyx_coriaceus,2
Physocalyx_major,2
Alectra_stricta,4
Alectra_aspera,4
Alectra_sessiliflora,4
Alectra_humbertii,4
Alectra_aurantiaca,4
Melasma_calycinum,4
Melasma_scabrum,4
Centranthera_cochinchinensis,4
Centranthera_grandiflora,4
Centranthera_chevalieri,4
Christisonia_siamensis,1
Christisonia_aurantiaca,1
Aeginetia_indica,1
Anisantherina_hispidula,5
Leucosalpa_poissonii,2
Leucosalpa_madagascariensis,2
Pseudomelasma_pediculariodes,4
Rhaphispermum_gerardioides,2
Buttonia_superba,3
Asepalum_eriantherum,2
Cyclocheilon_physocalyx,2
Cyclocheilon_somaliense,2
Neobartsia_thiantha,4
Neobartsia_laniflora,4
Neobartsia_pedicularoides,4
Neobartsia_laticrenata,4
Neobartsia_mutica,4
Neobartsia_crenata,4
Neobartsia_crenoloba,4
Neobartsia_canescens,4
Neobartsia_tenuis,4
